task_id	sid	snap	run_label	mode	alpha	ray_id	spectrum_file	output_file
1	143881	99	L4Rvir	flip	0	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid143881/rays_and_spectra_sid143881_snap99_L4Rvir/spectra_h5/L4Rvir_sid143881_J122138+043026_flip_alpha0_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid143881/rays_and_spectra_sid143881_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/flip/alpha000/L4Rvir_sid143881_J122138+043026_flip_alpha0_spectrum_fits.csv
2	143881	99	L4Rvir	flip	1	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid143881/rays_and_spectra_sid143881_snap99_L4Rvir/spectra_h5/L4Rvir_sid143881_J122138+043026_flip_alpha1_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid143881/rays_and_spectra_sid143881_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/flip/alpha001/L4Rvir_sid143881_J122138+043026_flip_alpha1_spectrum_fits.csv
3	143881	99	L4Rvir	flip	2	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid143881/rays_and_spectra_sid143881_snap99_L4Rvir/spectra_h5/L4Rvir_sid143881_J122138+043026_flip_alpha2_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid143881/rays_and_spectra_sid143881_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/flip/alpha002/L4Rvir_sid143881_J122138+043026_flip_alpha2_spectrum_fits.csv
4	143881	99	L4Rvir	flip	3	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid143881/rays_and_spectra_sid143881_snap99_L4Rvir/spectra_h5/L4Rvir_sid143881_J122138+043026_flip_alpha3_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid143881/rays_and_spectra_sid143881_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/flip/alpha003/L4Rvir_sid143881_J122138+043026_flip_alpha3_spectrum_fits.csv
5	143881	99	L4Rvir	flip	4	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid143881/rays_and_spectra_sid143881_snap99_L4Rvir/spectra_h5/L4Rvir_sid143881_J122138+043026_flip_alpha4_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid143881/rays_and_spectra_sid143881_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/flip/alpha004/L4Rvir_sid143881_J122138+043026_flip_alpha4_spectrum_fits.csv
6	143881	99	L4Rvir	flip	5	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid143881/rays_and_spectra_sid143881_snap99_L4Rvir/spectra_h5/L4Rvir_sid143881_J122138+043026_flip_alpha5_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid143881/rays_and_spectra_sid143881_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/flip/alpha005/L4Rvir_sid143881_J122138+043026_flip_alpha5_spectrum_fits.csv
7	143881	99	L4Rvir	flip	6	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid143881/rays_and_spectra_sid143881_snap99_L4Rvir/spectra_h5/L4Rvir_sid143881_J122138+043026_flip_alpha6_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid143881/rays_and_spectra_sid143881_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/flip/alpha006/L4Rvir_sid143881_J122138+043026_flip_alpha6_spectrum_fits.csv
8	143881	99	L4Rvir	flip	7	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid143881/rays_and_spectra_sid143881_snap99_L4Rvir/spectra_h5/L4Rvir_sid143881_J122138+043026_flip_alpha7_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid143881/rays_and_spectra_sid143881_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/flip/alpha007/L4Rvir_sid143881_J122138+043026_flip_alpha7_spectrum_fits.csv
9	143881	99	L4Rvir	flip	8	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid143881/rays_and_spectra_sid143881_snap99_L4Rvir/spectra_h5/L4Rvir_sid143881_J122138+043026_flip_alpha8_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid143881/rays_and_spectra_sid143881_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/flip/alpha008/L4Rvir_sid143881_J122138+043026_flip_alpha8_spectrum_fits.csv
10	143881	99	L4Rvir	flip	9	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid143881/rays_and_spectra_sid143881_snap99_L4Rvir/spectra_h5/L4Rvir_sid143881_J122138+043026_flip_alpha9_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid143881/rays_and_spectra_sid143881_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/flip/alpha009/L4Rvir_sid143881_J122138+043026_flip_alpha9_spectrum_fits.csv
