Galaxy,SubhaloID,inc_deg,phi_deg,rho_kpc,Rvir_kpc,span,sign,x_kpc,y_kpc,z_kpc,x_native_kpc,y_native_kpc,z_native_kpc,X_ckpch,Y_ckpch,Z_ckpch,figure_path,orientation_source
J122154+042837,143885,23.0,0.0,26.0,457.0,1.5Rvir,minus,26.0,0.0,-685.5,-63.41091983946238,-94.02027518442578,676.5541316844929,21015.811067900748,5233.32824371507,31531.942300053077,./m61_matched_top20/J122154plus042837_sid143885/J122154plus042837_sid143885_obsOriented.png,pca_v3
J122154+042837,143885,23.0,0.0,26.0,457.0,1.5Rvir,plus,26.0,0.0,685.5,94.7724395046877,134.14403972814972,-666.0403976604895,21122.964475520475,5387.886750636849,30622.468765874786,./m61_matched_top20/J122154plus042837_sid143885/J122154plus042837_sid143885_obsOriented.png,pca_v3
J122154+042837,143885,23.0,0.0,26.0,457.0,2.0Rvir,minus,26.0,0.0,-914.0,-89.77481306348739,-132.04766100318835,900.3198865753233,20997.952166630792,5207.5684925614405,31683.521222416122,./m61_matched_top20/J122154plus042837_sid143885/J122154plus042837_sid143885_obsOriented.png,pca_v3
J122154+042837,143885,23.0,0.0,26.0,457.0,2.0Rvir,plus,26.0,0.0,914.0,121.13633272871272,172.1714255469123,-889.8061525513199,21140.82337679043,5413.646501790478,30470.889843511737,./m61_matched_top20/J122154plus042837_sid143885/J122154plus042837_sid143885_obsOriented.png,pca_v3
J122154+042837,438148,23.0,0.0,26.0,457.0,1.5Rvir,minus,26.0,0.0,-685.5,288.85495245567523,-258.5616763824123,565.946045085701,14375.143001043474,3991.322488387304,35325.641382191054,./m61_matched_top20/J122154plus042837_sid438148/J122154plus042837_sid438148_obsOriented.png,pca_v3
J122154+042837,438148,23.0,0.0,26.0,457.0,1.5Rvir,plus,26.0,0.0,685.5,-334.7363526658918,255.10432834457018,-541.7191208216685,13952.722250954124,4339.279839989362,34575.308998805405,./m61_matched_top20/J122154plus042837_sid438148/J122154plus042837_sid438148_obsOriented.png,pca_v3
J122154+042837,438148,23.0,0.0,26.0,457.0,2.0Rvir,minus,26.0,0.0,-914.0,392.786836642603,-344.17267717024276,750.5569060702627,14445.546459391699,3933.3295964536273,35450.696779421996,./m61_matched_top20/J122154plus042837_sid438148/J122154plus042837_sid438148_obsOriented.png,pca_v3
J122154+042837,438148,23.0,0.0,26.0,457.0,2.0Rvir,plus,26.0,0.0,914.0,-438.66823685281963,340.7153291324006,-726.3299818062302,13882.3187926059,4397.272731923038,34450.25360157446,./m61_matched_top20/J122154plus042837_sid438148/J122154plus042837_sid438148_obsOriented.png,pca_v3
J122154+042837,375073,23.0,0.0,26.0,457.0,1.5Rvir,minus,26.0,0.0,-685.5,177.87875331942038,-649.7554798621827,-129.47283694502718,22678.307567498574,7247.882005128858,27645.23845962844,./m61_matched_top20/J122154plus042837_sid375073/J122154plus042837_sid375073_obsOriented.png,pca_v3
J122154+042837,375073,23.0,0.0,26.0,457.0,1.5Rvir,plus,26.0,0.0,685.5,-129.0891702640697,657.8282881599613,145.54785954135212,22470.367496063118,8133.639249587058,27831.537479428313,./m61_matched_top20/J122154plus042837_sid375073/J122154plus042837_sid375073_obsOriented.png,pca_v3
J122154+042837,375073,23.0,0.0,26.0,457.0,2.0Rvir,minus,26.0,0.0,-914.0,229.04007391666872,-867.6861078658734,-175.30961969275708,22712.96424607115,7100.255797719157,27614.188622995127,./m61_matched_top20/J122154plus042837_sid375073/J122154plus042837_sid375073_obsOriented.png,pca_v3
J122154+042837,375073,23.0,0.0,26.0,457.0,2.0Rvir,plus,26.0,0.0,914.0,-180.25049086131804,875.7589161636519,191.38464228908202,22435.710817490544,8281.265456996758,27862.587316061625,./m61_matched_top20/J122154plus042837_sid375073/J122154plus042837_sid375073_obsOriented.png,pca_v3
J122154+042837,143884,23.0,0.0,26.0,457.0,1.5Rvir,minus,26.0,0.0,-685.5,-91.06695062921527,38.498157894270015,-678.8305770528049,21087.00070076877,5534.415077938828,30758.82813585443,./m61_matched_top20/J122154plus042837_sid143884/J122154plus042837_sid143884_obsOriented.png,pca_v3
J122154+042837,143884,23.0,0.0,26.0,457.0,1.5Rvir,plus,26.0,0.0,685.5,142.28521119553687,-36.45247843789285,670.0838645205363,21245.073455188856,5483.643516887421,31672.582778576212,./m61_matched_top20/J122154plus042837_sid143884/J122154plus042837_sid143884_obsOriented.png,pca_v3
J122154+042837,143884,23.0,0.0,26.0,457.0,2.0Rvir,minus,26.0,0.0,-914.0,-129.9589776000073,50.98993061629716,-903.6496506483617,21060.655241698754,5542.877004780729,30606.5356954008,./m61_matched_top20/J122154plus042837_sid143884/J122154plus042837_sid143884_obsOriented.png,pca_v3
J122154+042837,143884,23.0,0.0,26.0,457.0,2.0Rvir,plus,26.0,0.0,914.0,181.1772381663289,-48.94425115991999,894.9029381160932,21271.418914258873,5475.18159004552,31824.87521902984,./m61_matched_top20/J122154plus042837_sid143884/J122154plus042837_sid143884_obsOriented.png,pca_v3
J122154+042837,143886,23.0,0.0,26.0,457.0,1.5Rvir,minus,26.0,0.0,-685.5,-462.6222316088222,443.59175542716105,-244.52663523289863,20657.117747183183,5432.338664501359,30886.023672918236,./m61_matched_top20/J122154plus042837_sid143886/J122154plus042837_sid143886_obsOriented.png,pca_v3
J122154+042837,143886,23.0,0.0,26.0,457.0,1.5Rvir,plus,26.0,0.0,685.5,498.1942165964067,-419.6724319324854,215.0902657624609,21307.974809197407,4847.563503983934,31197.368161652492,./m61_matched_top20/J122154plus042837_sid143886/J122154plus042837_sid143886_obsOriented.png,pca_v3
J122154+042837,143886,23.0,0.0,26.0,457.0,2.0Rvir,minus,26.0,0.0,-914.0,-622.7583063096937,587.4691199871021,-321.12945206545857,20548.641570180815,5529.801191254263,30834.13292479586,./m61_matched_top20/J122154plus042837_sid143886/J122154plus042837_sid143886_obsOriented.png,pca_v3
